node_index,zone_id,is_centroid
1174,144,0
1175,211,0
1176,144,0
1177,144,0
1178,144,0
1179,144,0
1180,144,0
1181,144,0
1182,144,0
1183,144,0
1184,144,0
1185,144,0
1186,144,0
1187,144,0
1188,144,0
1189,232,0
1190,232,0
1191,232,0
1192,232,0
1193,232,0
1194,232,0
1195,232,0
1196,232,0
1197,232,0
1198,232,0
1199,232,0
1200,232,0
1201,232,0
1202,232,0
1203,232,0
1204,232,0
1205,232,0
1206,232,0
1207,232,0
1208,148,0
1209,232,0
1210,232,0
1211,232,0
1212,232,0
1213,232,0
1214,232,0
1215,232,0
1216,232,0
1217,232,0
1218,232,0
1219,232,0
1220,232,0
1221,232,0
1222,232,0
1223,232,0
1224,232,0
1225,232,0
1226,4,0
1227,232,0
1228,4,0
1229,4,0
1230,4,0
1231,232,0
1232,232,0
1233,232,0
1234,4,0
1235,4,0
1236,79,0
1237,4,0
1238,4,0
1239,232,1
1240,234,0
1241,234,0
1242,234,0
1243,234,0
1244,234,0
1245,90,0
1246,234,0
1247,234,0
1248,107,0
1249,234,0
1250,90,0
1251,90,0
1252,234,0
1253,90,0
1254,90,0
1255,234,0
1256,68,0
1257,90,0
1258,234,0
1259,234,0
1260,90,0
1261,90,0
1262,68,0
1263,68,0
1264,90,0
1265,90,0
1266,90,0
1267,68,0
1268,90,0
1269,90,0
1270,68,0
1271,68,0
1272,246,1
1273,68,0
1274,246,0
1275,68,0
1276,246,0
1277,246,0
1278,246,0
1279,246,0
1280,68,0
1281,13,0
1282,13,0
1283,13,0
1284,13,0
1285,13,0
1286,13,0
1287,13,1
1288,234,0
1289,234,0
1290,90,0
1291,234,0
1292,90,0
1293,234,0
1294,234,0
1295,90,0
1296,90,0
1297,234,0
1298,234,0
1299,90,0
1300,68,0
1301,90,0
1302,90,0
1303,68,0
1304,186,0
1305,186,0
1306,68,0
1307,246,0
1308,68,0
1309,68,0
1310,68,0
1311,246,0
1312,68,0
1313,68,0
1314,246,0
1315,246,0
1316,246,0
1317,246,0
1318,246,0
1319,246,0
1320,127,0
1321,127,0
1322,127,0
1323,127,0
1324,127,0
1325,127,0
1326,127,0
1327,127,0
1328,127,0
1329,153,0
1330,128,1
1331,127,0
1332,128,0
1333,128,0
1334,127,0
1335,152,0
1336,152,0
1337,152,0
1338,166,0
1339,152,0
1340,152,0
1341,152,0
1342,152,0
1343,152,0
1344,152,0
1345,152,0
1346,152,0
1347,152,0
1348,152,0
1349,152,0
1350,152,0
1351,152,0
1352,152,0
1353,152,0
1354,152,0
1355,152,0
1356,152,0
1357,152,0
1358,152,0
1359,152,0
1360,116,0
1361,116,0
1362,152,0
1363,152,0
1364,116,0
1365,116,0
1366,116,0
1367,116,0
1368,152,0
1369,116,0
1370,152,0
1371,232,0
1372,232,0
1373,232,0
1374,232,0
1375,163,0
1376,163,0
1377,163,0
1378,163,0
1379,161,0
1380,163,0
1381,163,0
1382,163,0
1383,161,0
1384,161,0
1385,162,0
1386,163,0
1387,237,0
1388,243,0
1389,243,0
1390,243,0
1391,243,0
1392,243,0
1393,243,0
1394,243,0
1395,243,0
1396,243,0
1397,243,0
1398,243,0
1399,243,0
1400,243,0
1401,243,0
1402,243,0
1403,243,0
1404,243,0
1405,243,0
1406,243,0
1407,243,1
1408,243,0
1409,164,0
1410,164,0
1411,234,0
1412,186,0
1413,234,0
1414,234,0
1415,234,0
1416,186,0
1417,186,0
1418,234,0
1419,164,0
1420,234,0
1421,164,0
1422,164,0
1423,186,0
1424,186,0
1425,164,0
1426,164,0
1427,186,0
1428,68,0
1429,186,0
1430,186,0
1431,234,0
1432,68,0
1433,68,0
1434,186,0
1435,68,0
1436,246,0
1437,246,0
1438,68,0
1439,186,0
1440,68,0
1441,68,0
1442,68,0
1443,246,0
1444,246,0
1445,246,0
1446,68,0
1447,68,0
1448,246,0
1449,68,0
1450,246,0
1451,246,0
1452,246,0
1453,246,0
1454,246,0
1455,246,0
1456,246,0
1457,246,0
1458,246,0
1459,42,0
1460,42,0
1461,42,0
1462,42,0
1463,42,0
1464,74,0
1465,42,0
1466,42,0
1467,42,0
1468,42,0
1469,42,0
1470,243,0
1471,243,0
1472,243,0
1473,127,0
1474,243,0
1475,243,0
1476,127,0
1477,243,0
1478,127,0
1479,243,0
1480,243,0
1481,127,0
1482,127,0
1483,127,0
1484,127,0
1485,127,0
1486,127,0
1487,127,0
1488,243,0
1489,127,0
1490,127,0
1491,127,0
1492,127,0
1493,127,0
1494,127,0
1495,127,0
1496,127,0
1497,127,0
1498,127,0
1499,127,0
1500,127,0
1501,127,0
1502,127,0
1503,127,0
1504,127,0
1505,127,0
1506,127,0
1507,127,0
1508,127,0
1509,127,0
1510,127,0
1511,127,0
1512,127,0
1513,127,0
1514,127,0
1515,127,0
1516,127,0
1517,127,0
1518,127,0
1519,116,0
1520,116,0
1521,116,0
1522,116,0
1523,116,0
1524,116,0
1525,116,0
1526,116,0
1527,116,0
1528,116,0
1529,116,0
1530,42,0
1531,116,0
1532,116,0
1533,116,0
1534,116,1
1535,116,0
1536,116,0
1537,116,0
1538,116,0
1539,116,0
1540,236,0
1541,236,0
1542,236,0
1543,236,0
1544,153,0
1545,153,0
1546,153,0
1547,153,0
1548,153,0
1549,153,0
1550,153,0
1551,153,0
1552,153,0
1553,153,0
1554,153,0
1555,87,0
1556,87,0
1557,87,0
1558,88,0
1559,140,0
1560,140,0
1561,140,0
1562,140,0
1563,262,0
1564,141,0
1565,229,0
1566,140,0
1567,140,0
1568,140,0
1569,141,0
1570,140,0
1571,140,0
1572,141,0
1573,141,0
1574,141,0
1575,140,0
1576,140,0
1577,237,0
1578,140,0
1579,141,0
1580,140,0
1581,140,0
1582,141,0
1583,237,0
1584,141,0
1585,141,0
1586,140,0
1587,237,0
1588,141,0
1589,140,0
1590,141,0
1591,140,0
1592,140,0
1593,141,0
1594,140,0
1595,237,0
1596,140,0
1597,141,0
1598,140,0
1599,140,0
1600,141,0
1601,140,0
1602,141,0
1603,141,0
1604,140,0
1605,141,0
1606,140,0
1607,236,0
1608,141,0
1609,262,0
1610,262,0
1611,262,0
1612,262,0
1613,262,0
1614,262,0
1615,263,0
1616,262,0
1617,262,0
1618,263,0
1619,262,0
1620,141,0
1621,236,0
1622,262,0
1623,263,0
1624,262,0
1625,262,0
1626,263,0
1627,263,0
1628,262,0
1629,262,0
1630,262,0
1631,262,0
1632,263,0
1633,262,0
1634,262,0
1635,263,0
1636,263,0
1637,262,0
1638,262,0
1639,262,0
1640,262,0
1641,263,0
1642,263,0
1643,262,0
1644,263,1
1645,263,0
1646,262,0
1647,263,0
1648,262,0
1649,262,0
1650,263,0
1651,262,0
1652,262,0
1653,262,0
1654,263,0
1655,263,0
1656,262,0
1657,262,0
1658,262,0
1659,263,0
1660,262,0
1661,262,0
1662,263,0
1663,263,0
1664,262,0
1665,262,0
1666,263,0
1667,262,0
1668,262,0
1669,262,0
1670,263,0
1671,263,0
1672,262,0
1673,262,0
1674,239,0
1675,239,0
1676,239,0
1677,239,0
1678,239,0
1679,244,0
1680,243,0
1681,243,0
1682,244,0
1683,243,0
1684,243,0
1685,243,0
1686,243,0
1687,244,0
1688,244,0
1689,244,0
1690,244,0
1691,244,0
1692,243,0
1693,244,0
1694,243,0
1695,244,0
1696,243,0
1697,244,0
1698,244,0
1699,234,0
1700,234,0
1701,234,0
1702,234,0
1703,234,0
1704,107,0
1705,234,0
1706,107,0
1707,107,0
1708,234,0
1709,107,1
1710,107,0
1711,234,0
1712,234,0
1713,234,0
1714,234,0
1715,107,0
1716,234,0
1717,107,0
1718,107,0
1719,234,0
1720,234,0
1721,234,0
1722,234,0
1723,234,0
1724,234,0
1725,164,0
1726,164,1
1727,164,0
1728,164,0
1729,164,0
1730,164,0
1731,100,0
1732,100,0
1733,68,0
1734,100,0
1735,68,0
1736,100,0
1737,186,0
1738,68,0
1739,164,0
1740,100,0
1741,164,0
1742,170,0
1743,164,0
1744,170,0
1745,170,0
1746,100,0
1747,100,0
1748,100,0
1749,100,0
1750,100,0
1751,68,0
1752,48,0
1753,100,0
1754,100,0
1755,164,0
1756,100,0
1757,164,0
1758,164,0
1759,170,0
1760,100,0
1761,100,0
1762,100,0
1763,100,0
1764,164,0
1765,100,0
1766,170,0
1767,164,0
1768,100,0
1769,100,0
1770,100,0
1771,48,0
1772,48,0
1773,230,0
1774,230,0
1775,161,0
1776,161,0
1777,48,0
1778,161,0
1779,230,0
1780,161,0
1781,164,0
1782,230,0
1783,230,0
1784,230,0
1785,48,0
1786,230,0
1787,161,0
1788,161,0
1789,48,0
1790,48,0
1791,48,0
1792,230,0
1793,230,0
1794,48,0
1795,48,0
1796,48,0
1797,48,0
1798,230,0
1799,48,0
1800,230,0
1801,230,0
1802,161,0
1803,161,0
1804,161,0
1805,230,0
1806,48,0
1807,48,1
1808,48,0
1809,48,0
1810,230,0
1811,48,0
1812,230,0
1813,161,0
1814,230,0
1815,161,0
1816,230,0
1817,230,0
1818,48,0
1819,48,0
1820,48,0
1821,48,0
1822,230,0
1823,48,0
1824,230,0
1825,230,0
1826,230,0
1827,230,0
1828,161,0
1829,230,0
1830,163,0
1831,48,1
1832,163,0
1833,48,0
1834,48,0
1835,48,0
1836,163,0
1837,163,0
1838,230,0
1839,161,0
1840,163,0
1841,163,0
1842,48,0
1843,48,0
1844,163,0
1845,163,0
1846,48,0
1847,48,0
1848,163,0
1849,163,0
1850,142,0
1851,48,0
1852,163,0
1853,48,0
1854,50,0
1855,261,0
1856,261,0
1857,261,0
1858,261,0
1859,88,0
1860,261,0
1861,261,0
1862,261,0
1863,261,0
1864,88,0
1865,261,0
1866,261,0
1867,209,0
1868,261,0
1869,261,0
1870,261,0
1871,231,0
1872,261,0
1873,209,0
1874,231,0
1875,209,0
1876,209,0
1877,231,0
1878,231,0
1879,231,0
1880,231,0
1881,231,0
1882,231,0
1883,231,0
1884,231,0
1885,231,0
1886,231,0
1887,231,0
1888,231,0
1889,231,0
1890,231,0
1891,231,0
1892,231,0
1893,231,0
1894,231,0
1895,231,0
1896,231,0
1897,231,0
1898,231,0
1899,231,0
1900,231,0
1901,211,1
1902,211,0
1903,211,0
1904,211,0
1905,211,0
1906,211,0
1907,211,0
1908,211,0
1909,211,0
1910,211,0
1911,144,0
1912,144,0
1913,144,0
1914,211,0
1915,211,0
1916,211,0
1917,211,0
1918,211,0
1919,211,0
1920,114,0
1921,211,0
1922,114,0
1923,211,0
1924,114,0
1925,114,0
1926,144,0
1927,114,0
1928,114,0
1929,114,0
1930,114,0
1931,114,0
1932,114,0
1933,114,0
1934,79,0
1935,114,0
1936,114,0
1937,114,0
1938,114,0
1939,114,0
1940,114,0
1941,114,0
1942,114,0
1943,114,0
1944,114,0
1945,114,0
1946,79,0
1947,113,0
1948,114,0
1949,79,0
1950,79,0
1951,113,0
1952,113,0
1953,113,0
1954,113,0
1955,113,0
1956,114,0
1957,113,0
1958,113,0
1959,113,0
1960,113,0
1961,113,0
1962,113,0
1963,113,0
1964,79,0
1965,79,0
1966,79,0
1967,113,0
1968,113,0
1969,79,0
1970,79,0
1971,79,0
1972,79,1
1973,79,0
1974,79,0
1975,113,0
1976,113,1
1977,113,0
1978,113,0
1979,113,0
1980,113,0
1981,79,0
1982,79,0
1983,79,0
1984,79,0
1985,107,0
1986,113,0
1987,113,0
1988,113,0
1989,113,0
1990,113,0
1991,113,0
1992,107,0
1993,79,0
1994,113,0
1995,234,0
1996,107,0
1997,107,0
1998,107,0
1999,90,0
2000,88,0
2001,88,0
2002,142,0
2003,142,0
2004,142,0
2005,142,0
2006,142,0
2007,142,0
2008,142,0
2009,142,0
2010,142,0
2011,142,0
2012,142,0
2013,142,0
2014,143,0
2015,142,0
2016,143,0
2017,143,0
2018,142,0
2019,142,0
2020,142,0
2021,142,0
2022,142,0
2023,142,0
2024,142,0
2025,142,0
2026,142,0
2027,142,0
2028,142,0
2029,142,0
2030,142,0
2031,142,0
2032,142,0
2033,142,1
2034,142,0
2035,142,0
2036,142,0
2037,142,0
2038,142,0
2039,239,0
2040,143,0
2041,142,0
2042,142,0
2043,143,0
2044,239,0
2045,239,0
2046,239,0
2047,239,0
2048,239,0
2049,239,0
2050,238,0
2051,238,0
2052,238,0
2053,238,0
2054,238,0
2055,238,0
2056,238,0
2057,238,0
2058,238,0
2059,238,0
2060,238,0
