sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
2100,161,2100,3000,0,0,0,1.0,
2100,162,2100,3000,0,0,0,0.0,
2100,163,2100,3000,0,2,0,0.0,
2100,164,2100,3000,0,0,0,4.0,
2100,170,2100,3000,1,1,0,2.0,
2100,43,2100,3000,0,0,0,1.0,
2100,186,2100,3000,0,0,0,6.999999999999999,
2100,68,2100,3000,0,1,0,2.0,
2100,75,2100,3000,0,0,0,1.0,
2100,79,2100,3000,1,3,0,5.0,
2100,211,2100,3000,1,1,0,0.0,
2100,90,2100,3000,1,1,0,3.0,
2100,100,2100,3000,0,0,0,1.0,
2100,230,2100,3000,0,0,0,2.0,
2100,231,2100,3000,1,1,0,1.0,
2100,233,2100,3000,2,2,0,1.0,
2100,234,2100,3000,0,0,0,1.0,
2100,107,2100,3000,0,0,0,3.0,
2100,236,2100,3000,0,1,0,4.0,
2100,238,2100,3000,1,2,0,1.0,
2100,239,2100,3000,2,8,0,1.0,
2100,113,2100,3000,1,1,0,1.0,
2100,114,2100,3000,0,0,0,0.0,
2100,249,2100,3000,1,1,0,2.0,
2100,125,2100,3000,0,0,0,0.0,
2100,4,2100,3000,1,2,0,,
2100,12,2100,3000,0,0,0,,
2100,24,2100,3000,0,0,0,,
2100,41,2100,3000,0,0,0,,
2100,42,2100,3000,2,2,0,,
2100,45,2100,3000,2,2,0,,
2100,48,2100,3000,2,2,0,,
2100,50,2100,3000,0,0,0,,
2100,74,2100,3000,1,1,0,,
2100,87,2100,3000,2,7,0,,
2100,88,2100,3000,2,2,0,,
2100,116,2100,3000,1,1,0,,
2100,120,2100,3000,1,1,0,,
2100,127,2100,3000,1,1,0,,
2100,128,2100,3000,0,0,0,,
2100,143,2100,3000,1,1,0,,
2100,152,2100,3000,2,4,0,,
2100,153,2100,3000,0,0,0,,
2100,166,2100,3000,1,2,0,,
2100,194,2100,3000,1,1,0,,
2100,209,2100,3000,1,1,0,,
2100,224,2100,3000,0,0,0,,
2100,229,2100,3000,1,1,0,,
2100,232,2100,3000,0,0,0,,
2100,237,2100,3000,0,0,0,,
2100,243,2100,3000,0,3,0,,
2100,244,2100,3000,0,0,0,,
2100,246,2100,3000,0,0,0,,
2100,261,2100,3000,0,0,0,,
2100,262,2100,3000,1,1,0,,
2100,263,2100,3000,0,0,0,,
2400,137,2400,3300,0,0,0,1.0,
2400,140,2400,3300,0,0,0,1.0,
2400,13,2400,3300,1,1,0,1.0,
2400,142,2400,3300,1,4,0,0.0,
2400,141,2400,3300,0,0,0,4.0,
2400,144,2400,3300,1,1,0,0.0,
2400,148,2400,3300,1,1,0,2.0,
2400,151,2400,3300,0,0,0,1.0,
2400,158,2400,3300,0,0,0,0.0,
